wavelen(micron) a(micron) Qabs Qext Qpol
0.107866 0.127462 1.059133 2.351316 0.016541
0.107866 0.135324 1.040888 2.328747 0.014681
0.107866 0.143670 1.023242 2.306679 0.013257
0.107866 0.152531 1.006275 2.285543 0.012036
0.107866 0.161939 0.990067 2.265471 0.011079
0.107866 0.171927 0.974502 2.246146 0.011647
0.107866 0.182531 0.959453 2.227477 0.012131
0.107866 0.193788 0.945083 2.209738 0.012611
0.107866 0.205741 0.931198 2.192792 0.013080
0.107866 0.218430 0.917831 2.176742 0.013428
0.107866 0.231902 0.962065 2.364681 0.000000
0.107866 0.246205 0.952145 2.352034 0.000000
0.107866 0.261390 0.942340 2.339490 0.000000
0.107866 0.277512 0.933094 2.327550 0.000000
0.107866 0.294628 0.924141 2.315918 0.000000
0.107866 0.312800 0.915488 2.304606 0.000000
0.107866 0.332093 0.907329 2.293841 0.000000
0.107866 0.352575 0.899277 2.283177 0.000000
0.107866 0.374321 0.891693 2.273042 0.000000
0.107866 0.397408 0.884336 2.263153 0.000000
0.107866 0.421919 0.877244 2.253561 0.000000
0.107866 0.447941 0.870552 2.244428 0.000000
0.107866 0.475569 0.863956 2.235394 0.000000
0.107866 0.504900 0.857754 2.226821 0.000000
0.107866 0.536041 0.851724 2.218442 0.000000
0.107866 0.569102 0.845928 2.210337 0.000000
0.107866 0.604203 0.840454 2.202616 0.000000
0.107866 0.641468 0.835069 2.194992 0.000000
0.107866 0.681032 0.830014 2.187770 0.000000
0.107866 0.723036 0.825090 2.180700 0.000000
0.107866 0.767630 0.820373 2.173881 0.000000
0.107866 0.814976 0.815915 2.167383 0.000000
0.107866 0.865241 0.811539 2.160977 0.000000
0.107866 0.918606 0.807439 2.154921 0.000000
0.107866 0.975263 0.803438 2.148983 0.000000
0.107866 1.035414 0.799618 2.143272 0.000000
0.107866 1.099275 0.796008 2.137829 0.000000
0.107866 1.167075 0.792470 2.132474 0.000000
0.107866 1.239056 0.789165 2.127422 0.000000
0.107866 1.315478 0.785933 2.122459 0.000000
0.107866 1.396612 0.782860 2.117702 0.000000
0.107866 1.482751 0.779953 2.113166 0.000000
0.107866 1.574202 0.777112 2.108712 0.000000
0.107866 1.671294 0.774465 2.104519 0.000000
0.107866 1.774374 0.771871 2.100391 0.000000
0.107866 1.883812 0.769414 2.096448 0.000000
0.107866 2.000000 0.767090 2.092686 0.000000
0.116350 0.001000 0.114997 0.115000 0.000000
0.116350 0.001062 0.121090 0.121090 0.000000
0.116350 0.001127 0.128546 0.128547 0.000000
0.116350 0.001197 0.136488 0.136488 0.000000
0.116350 0.001270 0.144906 0.144906 0.000000
0.116350 0.001349 0.153844 0.153844 0.000000
0.116350 0.001432 0.163333 0.163333 0.000000
0.116350 0.001520 0.173407 0.173407 0.000000
0.116350 0.001614 0.184103 0.184103 0.000000
0.116350 0.001714 0.195458 0.195459 0.000000
0.116350 0.001819 0.207515 0.207515 0.000000
0.116350 0.001932 0.220314 0.220315 0.000000
0.116350 0.002051 0.233904 0.233905 0.000000
0.116350 0.002177 0.248357 0.248359 0.000000
0.116350 0.002311 0.263682 0.263684 0.000000
0.116350 0.002454 0.279947 0.279950 0.000000
0.116350 0.002605 0.297216 0.297220 0.000000
0.116350 0.002766 0.315551 0.315555 0.000000
0.116350 0.002937 0.335017 0.335023 0.000000
0.116350 0.003118 0.355684 0.355692 0.000000
0.116350 0.003310 0.377627 0.377637 0.000000
0.116350 0.003514 0.400925 0.400937 0.000000
0.116350 0.003731 0.425661 0.425677 0.000000
0.116350 0.003961 0.451925 0.451945 0.000000
0.116350 0.004205 0.479810 0.479836 0.000000
0.116350 0.004465 0.509419 0.509451 0.000000
0.116350 0.004740 0.540856 0.540897 0.000000
0.116350 0.005033 0.565928 0.566081 0.042782
0.116350 0.005343 0.527739 0.529009 0.046818
0.116350 0.005673 0.496424 0.499201 0.051459
0.116350 0.006022 0.471571 0.476361 0.056837
0.116350 0.006394 0.452890 0.460349 0.063116
0.116350 0.006788 0.440206 0.451207 0.070522
0.116350 0.007207 0.433473 0.449156 0.079319
0.116350 0.007651 0.432804 0.454653 0.089861
0.116350 0.008123 0.438415 0.468397 0.102567
0.116350 0.008624 0.450695 0.491397 0.117969
0.116350 0.009156 0.470186 0.525033 0.136705
0.116350 0.009721 0.497510 0.570961 0.159453
0.116350 0.010321 0.533378 0.631242 0.186949
0.116350 0.010957 0.578319 0.707983 0.219738
0.116350 0.011633 0.632824 0.803673 0.258146
0.116350 0.012350 0.696576 0.919835 0.301679
0.116350 0.013112 0.768756 1.057275 0.348983
0.116350 0.013921 0.847781 1.215430 0.397575
0.116350 0.014779 0.931201 1.391255 0.443769
0.116350 0.015691 1.016828 1.580645 0.483713
0.116350 0.016659 1.103013 1.778779 0.514397
0.116350 0.017686 1.188678 1.980840 0.533973
0.116350 0.018777 1.272324 2.181967 0.541204
0.116350 0.019935 1.350840 2.376069 0.534163
0.116350 0.021165 1.418307 2.554334 0.510336
0.116350 0.022470 1.468961 2.706618 0.471018
0.116350 0.023856 1.501616 2.826604 0.425647
0.116350 0.025327 1.522433 2.917149 0.388989
0.116350 0.026889 1.542745 2.990112 0.368219
0.116350 0.028548 1.569201 3.055908 0.356620
0.116350 0.030309 1.599714 3.116672 0.341236
0.116350 0.032178 1.621069 3.160591 0.313022
0.116350 0.034162 1.619344 3.168820 0.274366
0.116350 0.036270 1.598177 3.137555 0.235342
0.116350 0.038507 1.575107 3.083642 0.206226
0.116350 0.040881 1.561637 3.028059 0.192176
0.116350 0.043403 1.549675 2.975468 0.186091
0.116350 0.046080 1.526154 2.915974 0.172138
0.116350 0.048922 1.495738 2.852176 0.149527
0.116350 0.051939 1.469993 2.798246 0.134117
0.116350 0.055143 1.448696 2.757161 0.129198
0.116350 0.058544 1.424265 2.718435 0.118584
0.116350 0.062155 1.398854 2.683362 0.100551
0.116350 0.065988 1.375778 2.654485 0.086392
0.116350 0.070058 1.351438 2.623273 0.074634
0.116350 0.074379 1.325755 2.587253 0.061971
0.116350 0.078966 1.301651 2.552892 0.051647
0.116350 0.083837 1.276594 2.518384 0.044330
0.116350 0.089008 1.251677 2.485573 0.037772
0.116350 0.094497 1.227178 2.457810 0.032112
0.116350 0.100326 1.204436 2.435407 0.026036
0.116350 0.106513 1.182892 2.415834 0.020161
0.116350 0.113083 1.162060 2.396559 0.014371
0.116350 0.120057 1.141528 2.375373 0.009583
0.116350 0.127462 1.121710 2.352333 0.005998
0.116350 0.135324 1.102489 2.328467 0.003422
0.116350 0.143670 1.083892 2.305007 0.001427
0.116350 0.152531 1.066101 2.283111 -0.000419
0.116350 0.161939 1.049138 2.263143 -0.001990
0.116350 0.171927 1.032795 2.244397 -0.001490
