wavelen(micron) a(micron) Qabs Qext Qpol
0.107866 0.026889 1.738009 2.785380 0.348720
0.107866 0.028548 1.741663 2.838864 0.314111
0.107866 0.030309 1.737800 2.886587 0.278164
0.107866 0.032178 1.726109 2.926989 0.241053
0.107866 0.034162 1.707985 2.958653 0.205048
0.107866 0.036270 1.685058 2.979880 0.174177
0.107866 0.038507 1.658299 2.989984 0.149517
0.107866 0.040881 1.628872 2.990353 0.129064
0.107866 0.043403 1.596121 2.983536 0.109835
0.107866 0.046080 1.562176 2.972899 0.091201
0.107866 0.048922 1.527879 2.960197 0.075293
0.107866 0.051939 1.493834 2.946169 0.062777
0.107866 0.055143 1.459722 2.928921 0.052367
0.107866 0.058544 1.426310 2.909220 0.046817
0.107866 0.062155 1.394779 2.889433 0.041935
0.107866 0.065988 1.364222 2.870315 0.037156
0.107866 0.070058 1.334158 2.851050 0.032073
0.107866 0.074379 1.304731 2.831120 0.027445
0.107866 0.078966 1.276683 2.811422 0.022914
0.107866 0.083837 1.248943 2.791920 0.018389
0.107866 0.089008 1.221638 2.772028 0.015842
0.107866 0.094497 1.195100 2.751522 0.019336
0.107866 0.100326 1.169789 2.732092 0.023415
0.107866 0.106513 1.144850 2.712268 0.026419
0.107866 0.113083 1.120472 2.693023 0.028866
0.107866 0.120057 1.096767 2.674690 0.030752
0.107866 0.127462 1.074390 2.655940 0.032171
0.107866 0.135324 1.052878 2.638224 0.033154
0.107866 0.143670 1.031627 2.620607 0.033709
0.107866 0.152531 1.011407 2.603675 0.033949
0.107866 0.161939 0.991897 2.586669 0.033953
0.107866 0.171927 0.973224 2.570240 0.033780
0.107866 0.182531 0.955163 2.554740 0.033472
0.107866 0.193788 0.937973 2.539994 0.033050
0.107866 0.205741 0.921445 2.525484 0.032491
0.107866 0.218430 0.905523 2.511486 0.031848
0.107866 0.231902 0.890127 2.498426 0.031094
0.107866 0.246205 0.875316 2.485672 0.030280
0.107866 0.261390 0.861135 2.473758 0.029403
0.107866 0.277512 0.847361 2.462936 0.028506
0.107866 0.294628 0.834160 2.453204 0.027638
0.107866 0.312800 0.821161 2.444101 0.026734
0.107866 0.332093 0.808485 2.436565 0.025859
0.107866 0.352575 0.795971 2.430074 0.024958
0.107866 0.374321 0.783476 2.425877 0.024006
0.107866 0.397408 0.770940 2.423137 0.023048
0.107866 0.421919 0.758204 2.423349 0.022112
0.107866 0.447941 0.745179 2.426001 0.021227
0.107866 0.475569 0.731727 2.432581 0.020455
0.107866 0.504900 0.934863 2.442166 0.019935
0.107866 0.536041 0.914630 2.458202 0.019739
0.107866 0.569102 0.891874 2.478897 0.019712
0.107866 0.604203 0.866031 2.505714 0.019921
0.107866 0.641468 0.836498 2.539180 0.020371
0.107866 0.681032 0.802567 2.579842 0.021058
0.107866 0.723036 0.763328 2.626957 0.021847
0.107866 0.767630 0.718306 2.681136 0.022804
0.107866 0.814976 0.667494 2.741329 0.024069
0.107866 0.865241 0.607811 2.806283 0.025561
0.107866 0.918606 0.536372 2.874725 0.027215
0.107866 0.975263 0.448562 2.944546 0.028129
0.107866 1.035414 0.789038 3.232983 0.105792
0.107866 1.099275 0.816050 3.126014 0.093951
0.107866 1.167075 0.849152 3.054277 0.084450
0.107866 1.239056 0.868249 2.826381 0.063223
0.107866 1.315478 0.877869 2.483700 0.033293
0.107866 1.396612 0.884641 2.185698 0.016837
0.107866 1.482751 0.899632 2.188061 0.048889
0.107866 1.574202 0.916497 2.385603 0.117075
0.107866 1.671294 0.929248 2.521047 0.132744
0.107866 1.774374 0.938663 2.660786 0.111237
0.107866 1.883812 0.946047 2.780668 0.073899
0.107866 2.000000 0.954699 2.731340 0.068220
0.116350 0.001000 0.056444 0.064119 0.023035
0.116350 0.001062 0.059950 0.068110 0.024471
0.116350 0.001127 0.063672 0.072312 0.025987
0.116350 0.001197 0.067645 0.076835 0.027616
0.116350 0.001270 0.071865 0.081635 0.029341
0.116350 0.001349 0.076335 0.086744 0.031177
0.116350 0.001432 0.081068 0.092096 0.033109
0.116350 0.001520 0.086174 0.097914 0.035205
0.116350 0.001614 0.091582 0.104070 0.037421
0.116350 0.001714 0.097331 0.110563 0.039774
0.116350 0.001819 0.103389 0.117527 0.042285
0.116350 0.001932 0.109959 0.124958 0.044976
0.116350 0.002051 0.116889 0.132886 0.047830
0.116350 0.002177 0.124285 0.141316 0.050881
0.116350 0.002311 0.132164 0.150278 0.054127
0.116350 0.002454 0.140603 0.159943 0.057640
0.116350 0.002605 0.149609 0.170266 0.061400
0.116350 0.002766 0.159268 0.181273 0.065418
0.116350 0.002937 0.169510 0.193056 0.069698
0.116350 0.003118 0.180490 0.205723 0.074326
0.116350 0.003310 0.192344 0.219310 0.079267
0.116350 0.003514 0.204973 0.233890 0.084582
0.116350 0.003731 0.218570 0.249713 0.090388
0.116350 0.003961 0.233154 0.266704 0.096611
0.116350 0.004205 0.248823 0.285060 0.103364
0.116350 0.004465 0.265743 0.304894 0.110687
0.116350 0.004740 0.283950 0.326489 0.118654
0.116350 0.005033 0.303630 0.349974 0.127325
0.116350 0.005343 0.325012 0.375572 0.136807
0.116350 0.005673 0.348055 0.403552 0.147196
0.116350 0.006022 0.373113 0.434324 0.158659
0.116350 0.006394 0.400374 0.468225 0.171221
0.116350 0.006788 0.429941 0.505527 0.185147
0.116350 0.007207 0.462173 0.546908 0.200520
0.116350 0.007651 0.497358 0.592861 0.217605
0.116350 0.008123 0.535753 0.644111 0.236596
0.116350 0.008624 0.577569 0.701352 0.257713
0.116350 0.009156 0.623166 0.765336 0.281168
0.116350 0.009721 0.672702 0.836819 0.307147
0.116350 0.010321 0.726697 0.917088 0.335930
0.116350 0.010957 0.784564 1.006055 0.367177
0.116350 0.011633 0.846974 1.105170 0.401134
0.116350 0.012350 0.913191 1.214542 0.437165
0.116350 0.013112 0.982810 1.334196 0.474545
0.116350 0.013921 1.055578 1.462762 0.511850
0.116350 0.014779 1.130787 1.600431 0.547931
0.116350 0.015691 1.205838 1.742099 0.579788
0.116350 0.016659 1.281309 1.885715 0.605099
0.116350 0.017686 1.353936 2.029005 0.621402
0.116350 0.018777 1.423678 2.165784 0.626659
0.116350 0.019935 1.488676 2.294057 0.619308
0.116350 0.021165 1.547762 2.412328 0.598987
0.116350 0.022470 1.601197 2.518834 0.568734
0.116350 0.023856 1.646457 2.613160 0.531551
0.116350 0.025327 1.684392 2.696515 0.492553
0.116350 0.026889 1.713268 2.771475 0.454579
0.116350 0.028548 1.734655 2.840233 0.417707
0.116350 0.030309 1.746632 2.902290 0.379559
0.116350 0.032178 1.748207 2.957290 0.338086
0.116350 0.034162 1.741040 3.004077 0.294308
0.116350 0.036270 1.726160 3.039076 0.253642
0.116350 0.038507 1.705725 3.060464 0.220101
0.116350 0.040881 1.679697 3.067292 0.193495
0.116350 0.043403 1.648676 3.061084 0.170294
0.116350 0.046080 1.615565 3.047629 0.148104
0.116350 0.048922 1.581242 3.030826 0.128543
0.116350 0.051939 1.546066 3.013118 0.112797
0.116350 0.055143 1.510027 2.992552 0.099339
0.116350 0.058544 1.475436 2.968922 0.084893
0.116350 0.062155 1.442755 2.944973 0.071575
0.116350 0.065988 1.411198 2.921960 0.058711
0.116350 0.070058 1.380326 2.899122 0.046133
0.116350 0.074379 1.350846 2.876693 0.034365
0.116350 0.078966 1.322145 2.854794 0.023113
0.116350 0.083837 1.293704 2.833536 0.012526
0.116350 0.089008 1.266185 2.811888 0.004993
0.116350 0.094497 1.239145 2.789805 0.005964
0.116350 0.100326 1.212981 2.767959 0.008491
0.116350 0.106513 1.187309 2.746431 0.010193
0.116350 0.113083 1.162338 2.725186 0.011674
0.116350 0.120057 1.137411 2.705064 0.012982
0.116350 0.127462 1.114355 2.685024 0.014288
0.116350 0.135324 1.091978 2.665935 0.016898
0.116350 0.143670 1.069866 2.647442 0.018901
0.116350 0.152531 1.048699 2.629703 0.020457
0.116350 0.161939 1.028316 2.611872 0.021605
0.116350 0.171927 1.008641 2.594478 0.022439
0.116350 0.182531 0.989709 2.577845 0.023055
0.116350 0.193788 0.971691 2.562359 0.023487
0.116350 0.205741 0.954488 2.546618 0.023732
0.116350 0.218430 0.937818 2.531846 0.023842
0.116350 0.231902 0.921757 2.518036 0.023780
0.116350 0.246205 0.906227 2.504316 0.023593
0.116350 0.261390 0.891373 2.490887 0.023264
0.116350 0.277512 0.877016 2.479069 0.022842
0.116350 0.294628 0.863335 2.467878 0.022399
0.116350 0.312800 0.849994 2.457636 0.021915
0.116350 0.332093 0.837093 2.448488 0.021461
0.116350 0.352575 0.824456 2.440075 0.020963
0.116350 0.374321 0.812008 2.433647 0.020393
0.116350 0.397408 0.799564 2.428161 0.019775
0.116350 0.421919 0.786958 2.425281 0.019078
0.116350 0.447941 0.774178 2.424544 0.018245
0.116350 0.475569 0.761104 2.426596 0.017379
0.116350 0.504900 0.969471 2.430976 0.016724
0.116350 0.536041 0.950977 2.440570 0.016277
0.116350 0.569102 0.930037 2.454168 0.016026
0.116350 0.604203 0.906083 2.473111 0.016055
0.116350 0.641468 0.878593 2.497992 0.016359
0.116350 0.681032 0.846965 2.529455 0.016928
0.116350 0.723036 0.811393 2.567484 0.017630
0.116350 0.767630 0.771265 2.612887 0.018445
0.116350 0.814976 0.725899 2.665524 0.019145
0.116350 0.865241 0.671308 2.723957 0.020047
0.116350 0.918606 0.604632 2.787171 0.021433
0.116350 0.975263 0.539625 2.855056 0.025041
0.116350 1.035414 0.789038 3.232983 0.105792
